mod,def,variable,value
age_60,0.14,ih_NQ_2,0.00827032159941545
age_60,0.14,ih_NQ_3,0.00995758031127473
age_60,0.14,ih_NQ_4,0.0114450390565932
age_60,0.14,ih_NQ_5,0.0137225666835138
age_60,0.14,ih_NQ_6,0.0162164105165572
age_60,0.14,ih_NQ_7,0.0193355082582416
age_60,0.14,ih_NQ_8,0.0235666707166332
age_60,0.14,ih_NQ_9,0.0291233083658123
age_60,0.14,ih_NQ_10,0.0354617328905929
age_60,0.14,ih_NQ_11,0.0449816683597878
age_60,0.14,ih_NQ_12,0.0579577192476525
age_60,0.14,ih_NQ_13,0.0752632068421897
age_60,0.14,ih_NQ_14,0.0969128682688122
age_60,0.14,ih_NQ_15,0.106700171686629
age_60,0.14,ih_NQ_16,0.118332731462245
age_60,0.14,ih_NQ_17,0.132181620312837
age_60,0.14,L_NQ,5.47093891301325
age_60,0.14,MPL_NQ,0.288937134721427
age_60,0.14,penind_NQ,0.163278029062407
age_60,0.14,pi_NQ,0.7
age_60,0.14,Psc_NQ,5.74653368386688
age_60,0.14,y,3.78228597505518
age_60,0.14,c,2.77115037786843
age_60,0.14,I,0.0731588179920761
age_60,0.14,Ih,0.469003460906842
age_60,0.14,g,0.378228597505518
age_60,0.14,r,0.290197956626216
age_60,0.14,kbar,3.65794089960379
age_60,0.14,nbar,3.83686239807038
age_60,0.14,Ptot,12.7202356923241
age_60,0.14,Pret,4.5109018582285
age_60,0.14,Tw,1.09403760846197
age_60,0.14,Deped,0.0907447207822691
age_60,0.14,rd,0.290197956626216
age_60,0.14,H,93.2098418277957
age_60,0.14,R,0.310197956626216
age_60,0.14,beq,0.0269019592788082
age_60,0.14,Tc,0.279889162154083
age_60,0.14,Tk,0.404704599330904
age_60,0.14,penbase,1.85172589304891
age_60,0.14,retire,0.529520036507725
age_60,0.14,Def,-0.32928349840106
age_60,0.14,D,1.13468579251655
age_60,0.14,lambc,2.86619225336013
age_60,0.14,Retirepart,36.535054620319
age_60,0.14,Edpart,5.00885798717069
age_60,0.14,Gpart,26.0964675859421
age_60,0.14,Ihpart,32.3596198065682
age_60,0.14,Defratio,-0.0870593869878536
age_60,0.14,Dratio,0.3
age_60,0.14,Gratio,0.1
age_60,0.14,Ihratio,0.124
age_60,0.14,Penratio,0.14
age_60,0.14,Edratio,0.0191936244653622
age_60,0.14,Tkratio,0.107
age_60,0.14,Tcratio,0.074
age_60,0.14,Twratio,0.289253011453216
age_60,0.14,rhop,0.614230160672092
age_60,0.14,tauw,0.413218587790323
age_60,0.14,tauk,0.290984722368095
age_60,0.14,tauc,0.101001073196659
age_60,0.14,v,0.8
age_60,0.14,A,1
age_60,0.14,tauf,0
age_60,0.14,xpop,1
age_60,0.14,h_Q_1,100
age_60,0.14,mig_Q_2,0
age_60,0.14,med_Q_2,0
age_60,0.14,pi_ss,0
age_60,0.14,mig_Q_3,0
age_60,0.14,med_Q_3,0
age_60,0.14,mig_Q_4,0
age_60,0.14,med_Q_4,0
age_60,0.14,mig_Q_5,0
age_60,0.14,med_Q_5,0
age_60,0.14,mig_Q_6,0
age_60,0.14,med_Q_6,0
age_60,0.14,mig_Q_7,0
age_60,0.14,med_Q_7,0
age_60,0.14,mig_Q_8,0
age_60,0.14,med_Q_8,0
age_60,0.14,mig_Q_9,0
age_60,0.14,med_Q_9,0
age_60,0.14,mig_Q_10,0
age_60,0.14,med_Q_10,0
age_60,0.14,mig_Q_11,0
age_60,0.14,med_Q_11,0
age_60,0.14,mig_Q_12,0
age_60,0.14,med_Q_12,0
age_60,0.14,mig_Q_13,0
age_60,0.14,med_Q_13,0
age_60,0.14,mig_Q_14,0
age_60,0.14,med_Q_14,0
age_60,0.14,mig_Q_15,0
age_60,0.14,med_Q_15,0
age_60,0.14,mig_Q_16,0
age_60,0.14,med_Q_16,0
age_60,0.14,mig_Q_17,0
age_60,0.14,med_Q_17,0
age_60,0.14,h_NQ_1,100
age_60,0.14,mig_NQ_2,0
age_60,0.14,med_NQ_2,0
age_60,0.14,mig_NQ_3,0
age_60,0.14,med_NQ_3,0
age_60,0.14,mig_NQ_4,0
age_60,0.14,med_NQ_4,0
age_60,0.14,mig_NQ_5,0
age_60,0.14,med_NQ_5,0
age_60,0.14,mig_NQ_6,0
age_60,0.14,med_NQ_6,0
age_60,0.14,mig_NQ_7,0
age_60,0.14,med_NQ_7,0
age_60,0.14,mig_NQ_8,0
age_60,0.14,med_NQ_8,0
age_60,0.14,mig_NQ_9,0
age_60,0.14,med_NQ_9,0
age_60,0.14,mig_NQ_10,0
age_60,0.14,med_NQ_10,0
age_60,0.14,mig_NQ_11,0
age_60,0.14,med_NQ_11,0
age_60,0.14,mig_NQ_12,0
age_60,0.14,med_NQ_12,0
age_60,0.14,mig_NQ_13,0
age_60,0.14,med_NQ_13,0
age_60,0.14,mig_NQ_14,0
age_60,0.14,med_NQ_14,0
age_60,0.14,mig_NQ_15,0
age_60,0.14,med_NQ_15,0
age_60,0.14,mig_NQ_16,0
age_60,0.14,med_NQ_16,0
age_60,0.14,mig_NQ_17,0
age_60,0.14,med_NQ_17,0
age_55,0.17,k_Q_1,0
age_55,0.17,k_Q_2,-0.181001571065122
age_55,0.17,k_Q_3,-0.0779849070888261
age_55,0.17,k_Q_4,0.0309625681415984
age_55,0.17,k_Q_5,0.146713818235326
age_55,0.17,k_Q_6,0.268273545828581
age_55,0.17,k_Q_7,0.392606407015493
age_55,0.17,k_Q_8,0.515590616480504
age_55,0.17,k_Q_9,0.633559046287574
age_55,0.17,k_Q_10,0.653247957860311
age_55,0.17,k_Q_11,0.658227992831404
age_55,0.17,k_Q_12,0.645774389883036
age_55,0.17,k_Q_13,0.612832085092883
age_55,0.17,k_Q_14,0.555943472253392
age_55,0.17,k_Q_15,0.471149287916447
age_55,0.17,k_Q_16,0.353899110020575
age_55,0.17,k_Q_17,0.198912196135264
age_55,0.17,c_Q_1,0.132000924137037
age_55,0.17,c_Q_2,0.145482207867299
age_55,0.17,c_Q_3,0.159757753321725
age_55,0.17,c_Q_4,0.174771490646313
age_55,0.17,c_Q_5,0.190446195760254
age_55,0.17,c_Q_6,0.20668199015893
age_55,0.17,c_Q_7,0.223355609255648
age_55,0.17,c_Q_8,0.240320685719925
age_55,0.17,c_Q_9,0.257409110584614
age_55,0.17,c_Q_10,0.274432919520636
age_55,0.17,c_Q_11,0.291190650534417
age_55,0.17,c_Q_12,0.307474612049827
age_55,0.17,c_Q_13,0.323081173189998
age_55,0.17,c_Q_14,0.337821708955215
age_55,0.17,c_Q_15,0.351495406292751
age_55,0.17,c_Q_16,0.363917682675769
age_55,0.17,c_Q_17,0.374929057506349
age_55,0.17,lab_Q_1,0
age_55,0.17,lab_Q_2,0.945814679903631
age_55,0.17,lab_Q_3,0.941746996565212
age_55,0.17,lab_Q_4,0.937796551187067
age_55,0.17,lab_Q_5,0.93370784237599
age_55,0.17,lab_Q_6,0.929172051502559
age_55,0.17,lab_Q_7,0.924000046533862
age_55,0.17,lab_Q_8,0.918252781151447
